Seriation_Solution Mean_Distance Solution_Size
11428 40707.424384257 3
3925 40707.424384257 3
11528 40976.9264342752 3
3989 40976.9264342752 3
4058 41352.4397594428 4
11646 41352.4397594428 4
11645 41352.4397594428 4
4678 41803.1795364878 4
301 41803.1795364878 4
4677 41803.1795364878 4
1607 41862.4043743309 3
7192 41862.4043743309 3
5095 42197.9510678289 4
5047 42197.9510678289 4
5096 42197.9510678289 4
484 42197.9510678289 4
5048 42197.9510678289 4
508 42197.9510678289 4
7572 42267.2875874476 3
1805 42267.2875874476 3
11144 42268.8159285306 3
3771 42268.8159285306 3
1394 42434.4234908405 3
6782 42434.4234908405 3
11593 42563.0414796687 3
4030 42563.0414796687 3
7457 43084.5790635179 4
1745 43084.5790635179 4
7458 43084.5790635179 4
11587 43146.1105778957 3
4025 43146.1105778957 3
8999 43642.6500111989 3
2594 43642.6500111989 3
10441 43830.829464733 4
3377 43830.829464733 4
10440 43830.829464733 4
11505 44100.6445417751 4
3973 44100.6445417751 4
11504 44100.6445417751 4
7382 44204.3728606119 4
1705 44204.3728606119 4
7383 44204.3728606119 4
1760 44204.3728606119 3
7488 44204.3728606119 3
9110 44443.9253441907 3
2652 44443.9253441907 3
9092 44443.9253441907 3
2641 44443.9253441907 3
2021 44476.392355137 4
7968 44476.392355137 4
7969 44476.392355137 4
7032 44502.7525331584 4
7033 44502.7525331584 4
1529 44502.7525331584 4
10321 45242.7750063165 4
3302 45242.7750063165 4
10320 45242.7750063165 4
2639 45255.2466755265 4
9089 45255.2466755265 4
9090 45255.2466755265 4
6427 45624.7614459517 4
1207 45624.7614459517 4
6426 45624.7614459517 4
10276 45636.9900096123 4
3278 45636.9900096123 4
10277 45636.9900096123 4
8561 45709.0023955894 4
8560 45709.0023955894 4
2349 45709.0023955894 4
3398 46679.2426780898 3
3409 46679.2426780898 3
10472 46679.2426780898 3
10490 46679.2426780898 3
9485 46840.2273692176 3
3668 46840.2273692176 3
2857 46840.2273692176 3
10973 46840.2273692176 3
10629 46928.0845230231 3
