Site Number	Neeley's Ferry Plain	Parkin Punctated	Barton Incised	Ranch Incised	Vernon Paul Applique	Fortune Noded	Manly Punctated	Tyronza Punctated	Bell Plain	Kent Incised	Rhodes Incised	Walls Engraved	Hull Engraved	Mound Place Incised (T)	Old Town Red 	Carson Red-on-Buff	Nodena Red and White	Avenue Polychrome	Hollywood White Slipped	Wallace Incised	Stokes Bayou Incised	Oliver Incised	Owens Punctated (T)	Leland Incised	Blanchard Incised (T)	Arcola Incised (T)
15-L-2	58	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13-N-12	14	7	3	0	0	0	0	0	31	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
20-O-2	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15-O-13	34	1	4	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17-N-14	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11-N-10	52	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11-N-3	50	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11-N-8	53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16-O-15	48	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
17-M-16	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17-O-8	45	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
